window,miu,be,sig,a,p,LogL
65,0.349661948,0.962928863,0.163962123,0.299618866,5.573260614,-9205.308498
66,0.383069279,0.959980439,0.178434785,0.309895176,5.49995486,-9212.750726
67,0.362295304,0.960004464,0.156440277,0.307070105,5.504297167,-9209.680129
68,0.463823538,0.959919183,0.163209489,0.299978771,5.611670935,-9211.247835
69,0.319894363,0.961423317,0.149707376,0.278229669,5.49540043,-9195.623455
70,0.394829856,0.959997968,0.151534819,0.30111271,5.503831104,-9200.460386
71,0.29141118,0.939839342,0.190163405,0.304285975,5.483153793,-9198.723179
72,0.398384115,0.95999937,0.150385634,0.300637883,5.500707648,-9199.646059
73,0.386951632,0.959893807,0.149991831,0.299972771,5.499754939,-9196.770603
74,0.387910994,0.959985269,0.184587817,0.30322318,5.499966006,-9194.934929
75,0.375431395,0.959986479,0.170899396,0.299508398,5.499082061,-9194.789619
76,0.390735146,0.958278515,0.202017491,0.299195217,5.519405971,-9208.285976
77,0.402413239,0.960377808,0.17372561,0.300791639,5.500343077,-9193.130068
78,0.40269332,0.959453146,0.141815639,0.295501757,5.489917909,-9195.417094
79,0.387002299,0.960007185,0.173768524,0.306268677,5.500330812,-9201.691896
80,0.403147225,0.959981631,0.189260747,0.302468409,5.505881894,-9203.536785
81,0.400200417,0.959693328,0.151784243,0.301767351,5.50035918,-9210.994153
82,0.395104347,0.959728521,0.158386694,0.303646296,5.499970605,-9196.041804
83,0.331215073,0.933303382,0.178269108,0.29205778,5.52207609,-9191.667169
84,0.39671093,0.959998842,0.150357086,0.300745881,5.501300758,-9194.456283
85,0.368979544,0.958095514,0.169516654,0.298482112,5.504403161,-9199.835178
86,0.432881067,0.964727192,0.145049742,0.271540885,5.516395227,-9190.048672
87,0.401473193,0.959996795,0.157330926,0.303628626,5.506909343,-9202.4861
88,0.415355648,0.964753052,0.168707578,0.288512959,5.48321886,-9197.314038
89,0.404950327,0.959997456,0.15158571,0.299999348,5.499994129,-9200.317767
90,0.396955101,0.959000958,0.154659738,0.300857774,5.50126819,-9191.761829
91,0.425562706,0.959992288,0.149999407,0.299998022,5.499982202,-9199.016114
92,0.401130601,0.960030285,0.155396532,0.300067412,5.500632612,-9193.624888
93,0.443231345,0.959924575,0.149990896,0.300015751,5.499790426,-9201.300491
94,0.389365892,0.956010426,0.169751273,0.300491989,5.500585774,-9191.535711
