window,miu,be,sig,a,LogL
100,0.366251058,0.899636433,0.290802446,0.48903465,-9292.535992
101,0.438534955,0.899200939,0.32749864,0.500613682,-9291.704952
102,0.401157342,0.899982726,0.300016753,0.501372282,-9293.910039
103,0.243559978,0.900001308,0.299995639,0.499981102,-9316.711871
104,0.402052351,0.901372615,0.30858512,0.505159048,-9303.489181
105,0.48985065,0.900001423,0.299995255,0.499979439,-9304.223705
106,0.490300209,0.90023917,0.301054521,0.537332246,-9322.514664
107,0.475287531,0.899977667,0.322837331,0.499984639,-9287.438192
108,0.40247864,0.899995148,0.30000337,0.499997,-9289.417691
109,0.391630363,0.899998732,0.300099513,0.500682693,-9303.651379
110,0.50177357,0.900000612,0.347898637,0.499991155,-9295.55828
111,0.401229577,0.899997845,0.304489376,0.501909487,-9286.968826
112,0.375802696,0.900932526,0.300304922,0.507773454,-9316.052782
113,0.40587446,0.899998013,0.302873428,0.499998808,-9301.519295
114,0.398691098,0.901212207,0.297081829,0.498378784,-9309.861246
115,0.399901309,0.900014854,0.299965349,0.500062128,-9300.526976
116,0.366359965,0.895987394,0.318261816,0.488317532,-9300.608727
117,0.400312494,0.872634712,0.315074241,0.519012472,-9296.543159
118,0.408588462,0.900000646,0.341145686,0.518472879,-9312.646324
119,0.379226422,0.899953975,0.300003334,0.499971664,-9305.626402
120,0.338404599,0.901806824,0.30349514,0.497360233,-9301.781032
121,0.401651144,0.899997776,0.306166801,0.501285201,-9298.095232
122,0.338122854,0.90051848,0.30109501,0.498814595,-9301.158511
123,0.40833052,0.89999836,0.29999974,0.50060557,-9303.642374
124,0.498277233,0.898662228,0.308804492,0.492365342,-9321.947671
125,0.640606571,0.900003308,0.325353882,0.499952224,-9314.912718
126,0.348487432,0.900000554,0.299998152,0.499991991,-9298.374561
127,0.444352653,0.900976127,0.311072331,0.504530095,-9312.346087
128,0.497136477,0.893550221,0.3234074,0.492770009,-9293.129782
129,0.402929042,0.853994012,0.325285805,0.415417294,-9271.407336
130,0.419352394,0.899513765,0.317374256,0.512452501,-9307.168904
131,0.40032042,0.899986819,0.300516443,0.500370926,-9291.543548
132,0.524128046,0.899987326,0.309198217,0.499991283,-9314.262188
133,0.361540854,0.899989514,0.299998336,0.499992787,-9306.457595
134,0.385204968,0.899994143,0.313452264,0.499995972,-9310.264613
135,0.35763895,0.905138781,0.309361242,0.518543567,-9336.334028
136,0.397998032,0.899996467,0.299999439,0.49999757,-9301.927007
137,0.400846781,0.900050505,0.300620553,0.502473814,-9299.580902
138,0.420627142,0.900462546,0.340469904,0.500445715,-9312.245309
139,0.399052707,0.900014992,0.301916983,0.499992012,-9288.473179
140,0.446091157,0.900005777,0.299980743,0.499916554,-9319.156385
141,0.340449229,0.899971301,0.359275835,0.508712716,-9303.944335
142,0.426875038,0.893496412,0.322201628,0.507027571,-9290.738053
143,0.395930245,0.859103231,0.325236129,0.484421505,-9284.64371
144,0.398878697,0.901550199,0.30603796,0.50009356,-9291.148845
145,0.418408066,0.904675907,0.331288678,0.5053106,-9298.283801
146,0.241775001,0.878342905,0.322312228,0.415540564,-9286.755793
147,0.369684366,0.899994265,0.299999004,0.50964464,-9310.376168
148,0.387323735,0.899626357,0.331681561,0.500297235,-9297.759362
149,0.399297388,0.900001007,0.300162963,0.500003085,-9307.429949
150,0.402266569,0.899996561,0.307412668,0.506452924,-9307.406148
151,0.493273576,0.860843282,0.292534487,0.473993481,-9301.414497
152,0.349157289,0.899928731,0.299988687,0.499950979,-9295.605251
153,0.406131518,0.90045283,0.297438196,0.506995192,-9294.322311
154,0.410094569,0.89747055,0.30993102,0.503627271,-9301.138306
155,0.376137044,0.903023753,0.311006566,0.500248894,-9302.771369
156,0.447575306,0.901302078,0.308636091,0.500810216,-9306.688113
157,0.381354734,0.886438472,0.383589611,0.503104757,-9310.723263
158,0.395982877,0.896523883,0.324625378,0.512350604,-9300.043797
159,0.540044963,0.857179071,0.367573707,0.492092754,-9284.759513
160,0.404834787,0.900352893,0.299863859,0.498642024,-9319.404429
161,0.366794587,0.893511157,0.296947434,0.498997974,-9302.887722
162,0.348038422,0.89288601,0.312910635,0.498226027,-9289.649944
163,0.400325752,0.900010988,0.302415292,0.500001563,-9297.413623
164,0.298721834,0.900002366,0.299992113,0.499965823,-9314.246352
165,0.393351225,0.899997765,0.300476749,0.499998463,-9303.097485
166,0.335956136,0.899962391,0.372977166,0.499974131,-9307.853977
167,0.350738848,0.899976697,0.315641317,0.499983922,-9292.06309
168,0.377875026,0.899994052,0.299999056,0.508269236,-9295.755307
169,0.469863546,0.900001511,0.342321471,0.499978178,-9299.59307
170,0.356557523,0.899989835,0.306007744,0.499992969,-9284.768629
171,0.391925393,0.86194765,0.295136193,0.469327901,-9276.781021
172,0.396680589,0.898944553,0.294000477,0.498373017,-9293.537598
173,0.370748619,0.899984577,0.299997552,0.502128862,-9293.63517
174,0.426190547,0.899985514,0.321968731,0.500761377,-9293.767432
175,0.373791588,0.89478321,0.307066772,0.514895097,-9292.74038
176,0.219589137,0.899966767,0.299994725,0.499977142,-9316.014069
177,0.44147473,0.900040353,0.30135595,0.5036848,-9284.776349
178,0.400022262,0.900007026,0.30150089,0.503099382,-9299.042762
179,0.461873055,0.899987476,0.299998012,0.499991386,-9285.763161
180,0.285532006,0.876174013,0.306057551,0.483222735,-9290.16232
181,0.413919637,0.899996806,0.31966983,0.499997784,-9284.319989
182,0.37399029,0.900014186,0.299966909,0.513615791,-9314.754575
183,0.441510564,0.902915475,0.34759084,0.498746923,-9285.170179
184,0.340488918,0.900000657,0.333947005,0.499990511,-9290.400029
185,0.334478363,0.899974891,0.299996014,0.499982729,-9287.235081
186,0.575387405,0.900357989,0.298355879,0.502276706,-9303.088451
187,0.494391101,0.900002587,0.299983625,0.499958187,-9290.43811
188,0.401746436,0.89994031,0.299845322,0.50009825,-9284.630878
189,0.238230347,0.890374372,0.314205219,0.488938001,-9275.906918
