Index,ObsDur,TSCD,fTaR_0.5,fTaR_0.25,fTaR_0.1,fTaR_0.05,fTaR_0.025,fTaR_0.01
2754,1.245795052,1.446136309,1.104222648,2.148425942,3.57772596,4.664866877,5.747030114,7.163749041
2755,0.791095387,1.608650143,0.979397824,1.860411337,3.031262096,3.908341331,4.774640098,5.902030481
2756,3.209888277,1.425098123,1.00466523,2.18462078,3.955294877,5.37684221,6.836922262,8.801270298
2757,0.16457989,2.163591154,1.325585084,2.503823846,4.023633108,5.138141981,6.223606907,7.618545864
2758,0.434104437,1.652375552,0.970932149,1.983968649,3.444145995,4.592500251,5.759356807,7.314832496
2759,1.446976775,1.355370339,1.045047664,2.036600029,3.383201458,4.401768994,5.411966094,6.730126924
2760,4.712998615,1.597222008,1.125113983,2.275029877,3.949769334,5.270632477,6.611128693,8.393801851
2761,3.256848206,1.841814901,1.328932606,2.588810643,4.316660544,5.632914631,6.943989614,8.661728376
2762,4.070050465,2.370756191,1.441304252,2.7335304,4.476423449,5.796688062,7.109977615,8.83061124
2763,1.439388263,2.061360242,1.216599071,2.451094334,4.236924057,5.637185948,7.052712616,8.927729825
2764,3.687046016,2.547760924,1.81563623,3.465337568,5.540152571,7.035491956,8.476776668,10.31146821
2765,2.27154408,2.06842712,2.000834061,3.605750028,5.629178242,7.10520508,8.543576809,10.39680399
2766,0.467733668,2.227313271,1.289800487,2.460788774,4.024410523,5.198373239,6.359012277,7.870479808
2767,0.404474513,2.21381962,1.572981543,3.026524336,5.003518489,6.49976274,7.983265477,9.9177768
2768,0.771903612,1.783402653,22.81950722,22.81950722,22.81950722,22.81950722,22.81950722,22.81950722
2769,0.880077107,1.762830388,1.301542921,2.602286306,4.402661361,5.780663754,7.157155369,8.965281686
2770,0.64111722,1.722018734,0.969045714,1.746827504,2.728338181,3.445803104,4.146375399,5.050770545
2771,0.452257135,1.461926664,1.157172321,2.27695585,3.80673911,4.973545375,6.1393497,7.672911638
2772,0.961566374,1.433245986,0.968969055,1.79865524,2.872431522,3.666986176,4.447475581,5.459659986
2773,0.694763919,1.37288427,1.124547076,2.218751266,3.722248797,4.869221969,6.013270148,7.514529733
2774,0.068695856,1.304678756,0.952811539,1.811055737,2.994995608,3.902061847,4.808947193,6.000649912
