PIT.Wei.SCD,PIT.GG.SCD,PIT.Burr.SCD,PIT.GB2.SCD,PIT.EGIG.SCD,PIT.EGIG.TSCD
0.693313921,0.693313921,0.646328662,0.611593765,0.754601355,0.752221827
0.898522205,0.898522205,0.918829439,0.919753459,0.993589178,0.990102823
0.759712725,0.759712725,0.733264599,0.71896846,0.808249984,0.81145087
0.48157696,0.48157696,0.326976866,0.307280275,0.19009968,0.198576853
0.813128447,0.813128447,0.813291753,0.801505069,0.829764416,0.837782912
0.643958812,0.643958812,0.524064494,0.530915898,0.327263133,0.333850783
0.733912217,0.733912217,0.685823897,0.675416215,0.865355221,0.872613414
0.792497273,0.792497273,0.763863708,0.757587074,0.574963818,0.575208336
0.437112797,0.437112797,0.269662533,0.954556033,0.315625245,0.321401432
0.61851176,0.61851176,0.531561223,0.508403917,0.55304312,0.555598902
0.442164133,0.442164133,0.246110616,0.757606023,0.296938665,0.306364176
0.623367954,0.623367954,0.508590561,0.502769023,0.332172951,0.331668987
0.716270394,0.716270394,0.680529498,0.660187905,0.552532566,0.553822448
0.608042435,0.608042435,0.491662513,0.479518188,0.512929476,0.515800385
0.765714535,0.765714535,0.735211923,0.727973171,0.696195014,0.704538051
0.416639882,0.416639882,0.223608516,0.224870796,0.249791865,0.253066924
0.804242372,0.804242372,0.799293656,0.789434958,0.869873036,0.878347208
0.675639461,0.675639461,0.59456457,0.603274133,0.538037062,0.548417076
0.731345119,0.731345119,0.67734408,0.672620486,0.665412951,0.6795251
0.814952872,0.814952872,0.817962379,0.806091515,0.789281826,0.794104118
0.353754178,0.353754178,0.609779972,0.202169027,0.101654648,0.102522444
0.534933482,0.534933482,0.361673041,0.370173633,0.521343788,0.528994995
0.536510805,0.536510805,0.420773703,0.396321423,0.427724488,0.435412787
0.365657701,0.365657701,0.222000939,0.181584279,0.349263978,0.354649666
0.550444228,0.550444228,0.414412739,0.415776312,0.250700022,0.255553769
0.557079967,0.557079967,0.381004812,0.406503957,0.773753262,0.779652172
0.469595183,0.469595183,0.282388078,0.284982659,0.18184018,0.182712914
0.494218576,0.494218576,0.326684496,0.352351773,0.344587266,0.348552807
0.508688772,0.508688772,0.363451723,0.340324271,0.593208145,0.598141672
0.511609787,0.511609787,0.397398327,0.376613388,0.612694608,0.614893058
0.524700596,0.524700596,0.384336804,0.394008924,0.529291064,0.539225014
0.700195693,0.100195693,0.600924008,0.598591475,0.915181894,0.924466248
0.669233078,0.669233078,0.598263694,0.571164354,0.661664969,0.666302002
0.527535144,0.527535144,0.372240718,0.341990624,0.531427177,0.53043525
0.846983639,0.846983639,0.860847662,0.853342133,0.901983078,0.900336494
0.453316843,0.453316843,0.323619762,0.305843249,0.344643997,0.348464355
0.730917757,0.730917757,0.699483825,0.672159218,0.330642387,0.335725893
0.849145725,0.849145725,0.862609402,0.85751955,0.88688192,0.897460877
0.587968281,0.587968281,0.464710019,0.450398514,0.211803618,0.216537103
0.746028755,0.746028755,0.691441692,0.699250895,0.85843683,0.860427986
0.414305383,0.414305383,0.251371385,0.199273246,0.107482105,0.119376471
0.599782799,0.599782799,0.501004321,0.434366014,0.590604326,0.597153771
0.756359639,0.756359639,0.688861175,0.686158776,0.625847924,0.637320117
0.560315157,0.560315157,0.451194591,0.417425096,0.174509132,0.172433518
0.806662596,0.806662596,0.801919837,0.79240789,0.789542364,0.79007628
0.361908787,0.361908787,0.185964732,0.177471095,0.260093587,0.266951115
0.793739948,0.793739948,0.782502806,0.776520005,0.764970601,0.763189426
0.518968316,0.518968316,0.38512124,0.344472977,0.359283495,0.368578263
0.688377076,0.688377076,0.602192807,0.603904162,0.610669854,0.619530358
0.341096314,0.341096314,0.196390954,0.182475692,0.079234054,0.08750476
0.683637476,0.683637476,0.598924883,0.601373488,0.448351314,0.454509817
0.673915249,0.673915249,0.616717757,0.578046206,0.533125486,0.537269115
0.326046146,0.326046146,0.113452433,0.154575597,0.35403708,0.355966938
0.675109778,0.675109778,0.619098773,0.577737715,0.620386071,0.626544167
0.619496601,0.619496601,0.476346223,0.479588708,0.547251128,0.555628152
0.324449964,0.324449964,0.124155805,0.193288975,0.100191464,0.105773443
