Parameter,miu,be,sig,a,p,q,LogL,AIC,BIC
Estimate,0.616197171,0.902952458,0.206936817,0.660038957,2.570667024,24.9570667,-9204.112083,18420.22417,18460.62476
Estimate,0.653870306,0.931696884,0.207329879,0.601771663,2.779300814,24.97793008,-9230.397819,18472.79564,18513.19624
Estimate,0.49816527,0.939769286,0.19781217,0.659121463,2.886160933,24.98861609,-9198.585722,18409.17144,18449.57204
Estimate,0.566825058,0.932429792,0.197754845,0.666062587,2.686691317,24.96866913,-9207.217997,18426.43599,18466.83659
Estimate,0.585451386,0.924530041,0.190325798,0.651508387,2.780234319,24.97802343,-9226.480144,18464.96029,18505.36089
Estimate,0.606570978,0.936145388,0.190695155,0.609984867,2.780212773,24.97802128,-9229.431406,18470.86281,18511.26341
Estimate,0.522246476,0.919792303,0.214548343,0.602009683,2.779985149,25.07799851,-9225.990727,18463.98145,18504.38205
Estimate,0.63464543,0.93351323,0.195033784,0.645616587,2.885145747,24.98851457,-9225.160599,18462.3212,18502.7218
Estimate,0.64607096,0.930000906,0.219473715,0.621894861,2.682085465,25.16820855,-9214.280108,18440.56022,18480.96081
Estimate,0.571958657,0.925970858,0.191790396,0.634438727,2.883066302,24.78830663,-9207.811826,18427.62365,18468.02425
Estimate,0.514828536,0.933209881,0.198385719,0.642308704,2.78632598,25.1786326,-9195.731676,18403.46335,18443.86395
Estimate,0.078485702,0.936924858,0.192714998,0.622530216,2.728882854,24.97288829,-9229.188559,18470.37712,18510.77772
Estimate,0.358836426,0.932194898,0.203302742,0.6242908,2.777709016,24.9777709,-9206.426785,18424.85357,18465.25417
Estimate,0.583146867,0.934945944,0.190838579,0.637767245,2.779436426,24.97794364,-9192.562187,18397.12437,18437.52497
Estimate,0.585211788,0.929326966,0.205402089,0.675569425,2.784236538,24.97842365,-9215.436896,18442.87379,18483.27439
Estimate,0.65982628,0.931289062,0.198562303,0.601480455,2.58002589,24.95800259,-9230.536196,18473.07239,18513.47299
Estimate,0.675820195,0.944485511,0.218525787,0.625904019,2.780325133,24.97803251,-9229.12667,18470.25334,18510.65394
