"miu","be","sig","a","LogL","AIC","BIC"
0.58792655,0.9412286,0.277872656,0.559276002,-9307.610592,18623.22118,18650.15491
0.580286286,0.911556128,0.296219614,0.592053677,-9307.927085,18623.85417,18650.7879
0.678146137,0.905696186,0.318120841,0.447519428,-9307.937488,18623.87498,18650.80871
0.637906633,0.917067703,0.221202944,0.424008394,-9308.10896,18624.21792,18651.15165
0.683239111,0.948108066,0.181495769,0.427317221,-9308.265096,18624.53019,18651.46392
0.511532486,0.876355915,0.247529201,0.378489915,-9308.38232,18624.76464,18651.69837
0.842250415,0.965514993,0.200678798,0.450775961,-9308.405577,18624.81115,18651.74489
0.189410499,0.811082562,0.491340313,0.619307381,-9308.672023,18625.34405,18652.27778
0.710478609,0.959847974,0.209552736,0.384671031,-9308.674176,18625.34835,18652.28208
0.741487351,0.950501588,0.186223403,0.408385252,-9309.466534,18626.93307,18653.8668
0.315554027,0.840141554,0.39990027,0.697295794,-9309.905021,18627.81004,18654.74377
0.716973187,0.945560382,0.175082766,0.446069128,-9309.941442,18627.88288,18654.81662
0.618358004,0.796621596,0.402178947,0.554560684,-9310.053914,18628.10783,18655.04156
0.755468205,0.952477144,0.196565375,0.465463318,-9310.397211,18628.79442,18655.72815
0.649735019,0.963705786,0.197529991,0.392686646,-9310.542688,18629.08538,18656.01911
0.58094929,0.810362755,0.383552277,0.600834424,-9310.822873,18629.64575,18656.57948
0.583658996,0.955389893,0.253215527,0.49846217,-9310.984085,18629.96817,18656.9019
0.575542387,0.952775331,0.165812468,0.401006029,-9311.113007,18630.22601,18657.15975
0.481251702,0.965838336,0.21053137,0.383426743,-9311.429069,18630.85814,18657.79187
0.494868545,0.779105148,0.50900295,0.639478945,-9311.573012,18631.14602,18658.07976
0.509101939,0.963396168,0.162540156,0.402394677,-9311.770864,18631.54173,18658.47546
0.248973472,0.779418347,0.512018009,0.729342323,-9312.186318,18632.37264,18659.30637
0.808329693,0.957646727,0.19331518,0.416285334,-9312.508086,18633.01617,18659.9499
0.307120047,0.814103714,0.332556375,0.396076571,-9312.82172,18633.64344,18660.57717
0.49506206,0.942774886,0.262407011,0.445925412,-9312.841608,18633.68322,18660.61695
0.634968874,0.955122822,0.249140416,0.441428579,-9312.977711,18633.95542,18660.88915
0.604083367,0.898655247,0.253256379,0.562271115,-9312.981814,18633.96363,18660.89736
0.590497888,0.97062622,0.186167096,0.412562387,-9313.007636,18634.01527,18660.949
0.710774702,0.90287154,0.247798383,0.443103655,-9313.110566,18634.22113,18661.15486
0.435554834,0.914454876,0.376675603,0.535851088,-9313.128925,18634.25785,18661.19158
0.76365076,0.953099029,0.253845199,0.469802769,-9313.3455,18634.691,18661.62473
0.562305785,0.911158448,0.266411058,0.579974853,-9313.824797,18635.64959,18662.58333
0.828500152,0.956124749,0.239097476,0.402345389,-9313.949684,18635.89937,18662.8331
0.474377771,0.821234705,0.398081728,0.422117777,-9314.055125,18636.11025,18663.04398
0.753247207,0.943277851,0.232431796,0.511303029,-9314.272152,18636.5443,18663.47804
0.697466868,0.951906907,0.206762733,0.409026967,-9314.302888,18636.60578,18663.53951
0.699596139,0.96255805,0.176456738,0.440066567,-9314.335027,18636.67005,18663.60379
0.725692394,0.904959987,0.251232574,0.412589817,-9314.573089,18637.14618,18664.07991
0.588860055,0.961994271,0.233843478,0.472295945,-9314.662417,18637.32483,18664.25857
0.669286479,0.954150265,0.203739677,0.382804071,-9314.996806,18637.99361,18664.92734
0.734339113,0.946636854,0.197100696,0.47835359,-9315.344059,18638.68812,18665.62185
0.231024117,0.749164445,0.562035187,0.594277317,-9316.061978,18640.12396,18667.05769
0.698134361,0.878454426,0.311415496,0.511219992,-9316.187619,18640.37524,18667.30897
0.515477581,0.715746287,0.456583295,0.568467182,-9316.217486,18640.43497,18667.3687
0.540516239,0.964479561,0.236069319,0.462040013,-9316.29951,18640.59902,18667.53275
0.795832213,0.91013957,0.268064094,0.501396786,-9316.300772,18640.60154,18667.53528
0.637678056,0.790907063,0.425947405,0.545491015,-9316.558279,18641.11656,18668.05029
0.596034169,0.962936024,0.196211757,0.382707686,-9317.531171,18643.06234,18669.99607
0.292035496,0.455147092,0.74114321,0.904253645,-9317.613008,18643.22602,18670.15975
0.643158643,0.960302355,0.17592542,0.373921453,-9317.6775,18643.355,18670.28873
0.500717146,0.886754772,0.340126336,0.393638592,-9317.825901,18643.6518,18670.58553
0.333814116,0.940976079,0.317668509,0.525246194,-9318.011251,18644.0225,18670.95623
0.515416691,0.913188959,0.18044529,0.472419176,-9318.027218,18644.05444,18670.98817
0.571947964,0.973962049,0.177781971,0.401876709,-9318.291901,18644.5838,18671.51753
0.473126368,0.897654062,0.234559419,0.545363861,-9318.388487,18644.77697,18671.71071
0.546670379,0.965222326,0.148783853,0.385303535,-9318.543384,18645.08677,18672.0205
0.743790012,0.913991217,0.219456347,0.424930168,-9318.659275,18645.31855,18672.25228
0.341796658,0.897291766,0.201839608,0.429579078,-9318.936158,18645.87232,18672.80605
0.630605315,0.967284375,0.152694906,0.385542749,-9318.945553,18645.89111,18672.82484
0.303781364,0.964802104,0.142498667,0.372794677,-9319.068797,18646.13759,18673.07133
0.673190128,0.922363541,0.202493707,0.379643948,-9319.103416,18646.20683,18673.14056
0.661718905,0.906654061,0.262364194,0.38014689,-9319.145633,18646.29127,18673.225
0.575165268,0.913598217,0.193452398,0.363463687,-9319.468971,18646.93794,18673.87167
0.723025744,0.868960057,0.350340985,0.463893204,-9319.967432,18647.93486,18674.8686
0.681868758,0.96257883,0.206887759,0.377412164,-9320.539562,18649.07912,18676.01285
0.404310455,0.969295923,0.159697831,0.371700966,-9320.645016,18649.29003,18676.22376
0.664585051,0.968504118,0.149676599,0.415307108,-9320.703852,18649.4077,18676.34143
0.664847504,0.908565597,0.268487202,0.591902379,-9320.801957,18649.60391,18676.53765
0.488089037,0.710608727,0.435184434,0.611791428,-9320.827865,18649.65573,18676.58946
0.730636869,0.944851417,0.187826194,0.449079663,-9321.015866,18650.03173,18676.96546
0.444552124,0.958099116,0.161878214,0.345389098,-9321.123831,18650.24766,18677.18139
