Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.530454881,0.947259841,0.132472651,0.333313732,5.481501439,-9200.369205,18410.73841,18444.40557
Estimate,0.59332609,0.920453475,0.277614193,0.346862793,5.61743044,-9212.553826,18435.10765,18468.77482
Estimate,0.61575888,0.885761076,0.289675584,0.35366616,5.596065847,-9211.844443,18433.68889,18467.35605
Estimate,0.649777488,0.969999188,0.127574871,0.334726255,5.499950415,-9212.554351,18435.1087,18468.77587
Estimate,0.587743983,0.970673345,0.150495807,0.319467238,5.531033211,-9204.219443,18418.43889,18452.10605
Estimate,0.536511656,0.95627343,0.175370077,0.3306535,5.5399134,-9187.828454,18385.65691,18419.32407
Estimate,0.598967473,0.966332661,0.128674198,0.312784455,5.522590846,-9203.217872,18416.43574,18450.10291
Estimate,0.605029264,0.948626728,0.199050749,0.341389375,5.511416272,-9188.971961,18387.94392,18421.61109
Estimate,0.622548171,0.966950019,0.172479644,0.320055613,5.547450504,-9200.501635,18411.00327,18444.67043
Estimate,0.500797738,0.976234349,0.123527531,0.311960384,5.603502403,-9201.520455,18413.04091,18446.70807
Estimate,0.436146561,0.926073603,0.193256044,0.369271209,5.461594379,-9206.754454,18423.50891,18457.17607
Estimate,0.650579337,0.956537839,0.144132312,0.311911244,5.526410814,-9200.16322,18410.32644,18443.99361
Estimate,0.504356024,0.972601213,0.123699607,0.335639778,5.607302066,-9214.597186,18439.19437,18472.86154
Estimate,0.653302078,0.97076077,0.141349303,0.339235608,5.504009549,-9210.586697,18431.17339,18464.84056
Estimate,0.71986238,0.926083385,0.220561317,0.31381515,5.700112325,-9213.896244,18437.79249,18471.45965
Estimate,0.614520498,0.977073988,0.175183655,0.330236657,5.502381377,-9212.5716,18435.1432,18468.81036
Estimate,0.617302853,0.970021301,0.126827675,0.298600721,5.499400568,-9213.381663,18436.76333,18470.43049
Estimate,0.602790344,0.969921906,0.154677832,0.321575928,5.499470787,-9207.45581,18424.91162,18458.57878
Estimate,0.53795754,0.949432132,0.150806046,0.335606395,5.552441562,-9192.730863,18395.46173,18429.12889
Estimate,0.311744184,0.971166313,0.14996632,0.324760036,5.613102951,-9201.65762,18413.31524,18446.98241
Estimate,0.629904772,0.963774682,0.145885739,0.342459249,5.430584255,-9200.441394,18410.88279,18444.54995
Estimate,0.587851756,0.969575039,0.136962211,0.312395425,5.522821553,-9205.976309,18421.95262,18455.61978
Estimate,0.627872742,0.931526884,0.222735139,0.338905096,5.520006486,-9199.581265,18409.16253,18442.82969
Estimate,0.542858087,0.938904139,0.171942852,0.347237483,5.472722242,-9190.171579,18390.34316,18424.01032
Estimate,0.671585018,0.965616876,0.119845991,0.318798964,5.545777505,-9202.975604,18415.95121,18449.61837
Estimate,0.613641138,0.965036542,0.132843573,0.323228771,5.523182035,-9204.330529,18418.66106,18452.32822
Estimate,0.596158444,0.943817326,0.145351722,0.318764534,5.501692964,-9202.102701,18414.2054,18447.87257
Estimate,0.59289968,0.905078941,0.281219074,0.346176559,5.621635842,-9205.019501,18420.039,18453.70617
Estimate,0.621004682,0.958554603,0.141619431,0.321346417,5.503310172,-9194.255327,18398.51065,18432.17782
Estimate,0.563497877,0.88807403,0.236932557,0.343014047,5.479399701,-9201.204768,18412.40954,18446.0767
Estimate,0.577190681,0.970606883,0.133673618,0.317468968,5.602219648,-9199.053179,18408.10636,18441.77352
Estimate,0.581341752,0.970235849,0.136081819,0.330351969,5.508269482,-9204.037096,18418.07419,18451.74136
Estimate,0.473472389,0.931247497,0.213451646,0.31955388,5.562644673,-9188.491035,18386.98207,18420.64924
Estimate,0.48793415,0.976355804,0.162275265,0.3299395,5.514034659,-9212.714521,18435.42904,18469.09621
Estimate,0.576539535,0.952647354,0.142939008,0.323291452,5.497161382,-9195.382191,18400.76438,18434.43155
Estimate,0.766146864,0.944471445,0.175855641,0.3214364,5.698624563,-9214.671011,18439.34202,18473.00919
Estimate,0.529382518,0.920067363,0.167754834,0.326199494,5.540601344,-9197.490175,18404.98035,18438.64751
Estimate,0.542640063,0.969847077,0.113827072,0.310702862,5.499825147,-9207.604896,18425.20979,18458.87696
Estimate,0.543354297,0.976107129,0.14844623,0.319930919,5.499326357,-9205.96932,18421.93864,18455.6058
Estimate,0.558838253,0.953515182,0.162970883,0.323870766,5.497097244,-9186.595394,18383.19079,18416.85795
Estimate,0.599359085,0.97667267,0.105631404,0.317342167,5.558076,-9214.751953,18439.50391,18473.17107
Estimate,0.522158724,0.959728854,0.151895519,0.332819207,5.520967395,-9194.650424,18399.30085,18432.96801
Estimate,0.502618918,0.964481954,0.108862626,0.309313094,5.469104574,-9213.601101,18437.2022,18470.86937
Estimate,0.591149186,0.969969859,0.129186669,0.333725473,5.540059808,-9199.329672,18408.65934,18442.32651
Estimate,0.342503294,0.970182756,0.186649377,0.331937676,5.499940712,-9212.90325,18435.8065,18469.47367
Estimate,0.587501477,0.923550387,0.208093716,0.355110824,5.536195594,-9202.122515,18414.24503,18447.9122
Estimate,0.816951937,0.973669817,0.127110983,0.326877079,5.498626075,-9214.029677,18438.05935,18471.72652
Estimate,0.146413698,0.954864448,0.173041199,0.292439905,6.547404939,-9204.481013,18418.96203,18452.62919
Estimate,0.558457962,0.968758549,0.163918094,0.352702047,5.494586652,-9213.65335,18437.3067,18470.97386
Estimate,0.640499482,0.970001068,0.141197654,0.321535734,5.499930183,-9201.154887,18412.30977,18445.97694
Estimate,0.624167573,0.9701544,0.131205952,0.318101493,5.499603401,-9212.305726,18434.61145,18468.27862
Estimate,0.639339851,0.959969225,0.137118507,0.33704876,5.490095061,-9204.445503,18418.89101,18452.55817
Estimate,0.548227006,0.969303819,0.117396418,0.320022793,5.48578431,-9214.418911,18438.83782,18472.50499
Estimate,0.60051672,0.971190149,0.153224006,0.311941907,5.499355715,-9209.341515,18428.68303,18462.35019
Estimate,0.650666838,0.968168255,0.137240129,0.349884775,5.500186475,-9213.305322,18436.61064,18470.27781
Estimate,0.705801826,0.971770148,0.174696339,0.349039878,5.499565529,-9210.473064,18430.94613,18464.61329
Estimate,0.502325548,0.969920295,0.166280389,0.322283478,5.521648317,-9202.787156,18415.57431,18449.24148
Estimate,0.526892959,0.971715061,0.123154856,0.315670445,5.517830348,-9201.485762,18412.97152,18446.63869
Estimate,0.626849625,0.969939383,0.128134028,0.326471343,5.503930133,-9201.591047,18413.18209,18446.84926
Estimate,0.614052307,0.968947918,0.120840061,0.319265738,5.499261899,-9207.244196,18424.48839,18458.15556
Estimate,0.569058021,0.966201357,0.14470052,0.299760243,5.516399333,-9212.591142,18435.18228,18468.84945
Estimate,0.668429838,0.972248189,0.187884894,0.337876413,5.528349354,-9213.957035,18437.91407,18471.58123
Estimate,0.602623933,0.968780202,0.11305281,0.316653595,5.572677118,-9213.70561,18437.41122,18471.07838
