"miu","be","sig","a","q","LogL","AIC","BIC"
0.79610519,0.900874656,0.287741761,1.483609817,2.099460148,-9240.854712,18491.70942,18525.37659
0.720914319,0.981913354,0.190879373,1.332153067,2.70263442,-9241.056848,18492.1137,18525.78086
0.543113217,0.907378132,0.248889913,1.312300735,2.08028971,-9241.140757,18492.28151,18525.94868
0.05655262,0.93500234,0.235933534,1.376652905,2.170879609,-9241.811187,18493.62237,18527.28954
0.517473002,0.869677396,0.377631683,1.514613517,2.545199303,-9241.886536,18493.77307,18527.44024
0.617076823,0.947558341,0.184511967,1.586971941,2.138103949,-9242.206585,18494.41317,18528.08033
0.80623064,0.95674881,0.197703367,1.319475631,2.104793611,-9242.311745,18494.62349,18528.29065
0.642320576,0.894816119,0.345932356,1.455904722,2.10000112,-9242.42521,18494.85042,18528.51758
0.741908949,0.92712814,0.299832491,1.531581981,2.12650376,-9243.79595,18497.5919,18531.25906
0.721025769,0.875748125,0.334175292,1.524994946,1.780944487,-9243.97369,18497.94738,18531.61455
0.686723652,0.95330452,0.143085274,1.254388046,2.25845039,-9244.123121,18498.24624,18531.91341
0.895323034,0.988135162,0.083808557,1.434738677,1.831936087,-9244.381349,18498.7627,18532.42986
0.83619884,0.944841166,0.228964739,1.346211189,2.125631812,-9244.448833,18498.89767,18532.56483
0.651941476,0.900008642,0.239596652,1.306801081,2.099798348,-9244.63623,18499.27246,18532.93962
0.997012027,0.95331934,0.20596191,1.409261263,2.052215435,-9245.576841,18501.15368,18534.82085
0.670601279,0.92677521,0.229198602,1.298483631,2.174462152,-9245.733695,18501.46739,18535.13455
0.737150858,0.87326158,0.318841456,1.427239395,2.06976206,-9246.015156,18502.03031,18535.69748
0.965727302,0.955095818,0.17350957,1.36375934,1.997893563,-9246.220191,18502.44038,18536.10755
0.138043672,0.904419491,0.209458644,1.392273044,2.343567687,-9246.719121,18503.43824,18537.10541
0.53905606,0.732954095,0.413052391,1.492260767,2.116270233,-9246.752887,18503.50577,18537.17294
0.626997021,0.906901808,0.249400345,1.326795953,1.967730876,-9246.807308,18503.61462,18537.28178
0.686693694,0.870147374,0.314246892,1.375298581,2.097497103,-9247.153487,18504.30697,18537.97414
0.762854688,0.950634981,0.140828731,1.276136366,2.193030475,-9247.270054,18504.54011,18538.20727
0.662808061,0.945077928,0.121437226,1.3781409,1.550781048,-9247.475183,18504.95037,18538.61753
0.752811024,0.874256706,0.261512801,1.406752283,2.125191339,-9247.532896,18505.06579,18538.73296
0.704410782,0.897061448,0.32334068,1.393180835,2.289750069,-9248.044911,18506.08982,18539.75699
0.76309665,0.878754732,0.283725821,1.42572869,2.296313658,-9248.474433,18506.94887,18540.61603
0.818116092,0.89967529,0.257899173,1.445726059,2.11163549,-9248.927799,18507.8556,18541.52276
0.629244147,0.837556065,0.361947145,1.407664657,2.123266594,-9249.211431,18508.42286,18542.09003
0.61128651,0.936544788,0.286120315,1.348676531,2.429093441,-9249.337098,18508.6742,18542.34136
0.603886464,0.830265686,0.286295422,1.349804057,2.109273158,-9250.653254,18511.30651,18544.97367
0.615820095,0.924020613,0.1370257,1.459753227,2.195910575,-9250.861993,18511.72399,18545.39115
0.653737731,0.828942138,0.29528746,1.36427392,2.381041046,-9252.752978,18515.50596,18549.17312
0.305774508,0.899688314,0.361280627,1.592558081,2.099151241,-9253.164778,18516.32956,18549.99672
0.408799392,0.937380077,0.176068258,1.596879934,2.292839442,-9253.276951,18516.5539,18550.22107
0.537308907,0.842733507,0.327573281,1.337907533,2.131372117,-9253.287852,18516.5757,18550.24287
0.79703676,0.924902998,0.26325957,1.34934849,2.062644355,-9253.606124,18517.21225,18550.87941
0.596618535,0.947789923,0.160229258,1.252689953,2.1372129,-9253.66479,18517.32958,18550.99675
0.754756754,0.899986121,0.336372384,1.508438134,2.099783278,-9253.986874,18517.97375,18551.64091
0.826134691,0.898223842,0.262766428,1.476193825,2.171260825,-9254.269384,18518.53877,18552.20593
0.611406715,0.960114812,0.153121069,1.175761732,3.2090374,-9254.276155,18518.55231,18552.21947
0.776674651,0.900720455,0.320270547,1.521644135,2.235007981,-9254.42073,18518.84146,18552.50863
0.975323542,0.943920775,0.260068123,1.448967106,2.047873804,-9254.609188,18519.21838,18552.88554
0.675568455,0.886837181,0.267262153,1.289738585,2.328132015,-9254.633075,18519.26615,18552.93331
0.67484092,0.8481205,0.304317794,1.553169476,2.135276643,-9254.872729,18519.74546,18553.41262
0.667013021,0.832925752,0.395906987,1.573695401,1.876632065,-9254.919005,18519.83801,18553.50517
0.843660846,0.944441036,0.180956336,1.300844698,2.081742805,-9254.942503,18519.88501,18553.55217
0.79691434,0.961659364,0.145896173,1.259550359,2.119565706,-9254.954742,18519.90948,18553.57665
0.695055376,0.843750374,0.360720454,1.44248294,2.155945588,-9255.514384,18521.02877,18554.69593
0.667540508,0.89284903,0.246845348,1.263298803,2.460696881,-9255.749067,18521.49813,18555.1653
0.756166234,0.937655927,0.150320504,1.381659218,3.091194128,-9255.819167,18521.63833,18555.3055
0.522440753,0.966269923,0.101762929,1.254694287,2.101429853,-9256.145002,18522.29,18555.95717
0.714776365,0.943779937,0.233202441,1.306638136,2.136124753,-9256.232242,18522.46448,18556.13165
0.828796915,0.893637532,0.260624853,1.41909567,2.109298129,-9256.365344,18522.73069,18556.39785
0.339896735,0.900045003,0.320846417,1.582076741,2.867564012,-9256.638187,18523.27637,18556.94354
0.280460088,0.692197321,0.510352655,1.541875683,2.21951202,-9257.0371,18524.0742,18557.74137
0.771961168,0.90759156,0.257695279,1.328013278,2.150269299,-9257.129979,18524.25996,18557.92712
0.799410159,0.953771041,0.211948329,1.305294267,2.074561856,-9257.169023,18524.33805,18558.00521
0.706835161,0.878612805,0.331289241,1.317030196,3.212396354,-9257.542874,18525.08575,18558.75291
0.510834308,0.985884008,0.165488374,1.584004483,2.010369052,-9257.65987,18525.31974,18558.98691
0.649088578,0.958529012,0.247998914,1.612967299,1.91420345,-9257.933533,18525.86707,18559.53423
0.420888482,0.897238851,0.270611097,1.267596718,2.354927243,-9258.549761,18527.09952,18560.76669
0.769338274,0.893365509,0.306527622,1.377521866,2.192157945,-9258.835411,18527.67082,18561.33799
0.747857624,0.899797103,0.277613287,1.341984982,2.099709504,-9258.856913,18527.71383,18561.38099
0.350450705,0.94452136,0.176627412,1.639666041,2.113456551,-9259.157974,18528.31595,18561.98311
0.605337725,0.855808225,0.367567725,1.369570127,2.219173239,-9259.799534,18529.59907,18563.26623
0.30987229,0.656791527,0.51507194,1.57101471,2.008494004,-9261.071299,18532.1426,18565.80976
0.720703822,0.897588841,0.301485468,1.3271584,2.281770506,-9261.552653,18533.10531,18566.77247
0.689337039,0.854818307,0.360016019,1.407784329,2.064713728,-9261.639726,18533.27945,18566.94662
0.540140444,0.835272164,0.337891632,1.344730302,2.012881375,-9261.784385,18533.56877,18567.23593
0.79520482,0.900494123,0.250993756,1.329832246,2.180575858,-9262.727203,18535.45441,18569.12157
