"miu1","miu2","be1","be2","sig1","sig2","lam1","lam2","del1","del2","w1","w2","LogL","AIC","BIC"
0.394264783,0.941459777,0.905562268,0.953983088,0.214834585,0.222921763,0.268971625,1.125551667,1.791661857,0.421043389,0.328152414,0.062791396,-8990.938918,18005.87784,18086.67903
0.340948545,0.966290618,0.893705577,0.970247051,0.204134465,0.220608706,0.261182536,1.20394271,1.811711795,0.4574732,0.316362757,0.041797041,-8991.113477,18006.22695,18087.02815
0.340948545,0.966290618,0.893705577,0.970247051,0.204134465,0.220608706,0.261182536,1.20394271,1.811711795,0.4574732,0.316362757,0.041797041,-8991.113477,18006.22695,18087.02815
0.231675075,0.970315602,0.89856072,0.969762057,0.201626693,0.172225097,0.271687435,1.204507291,1.799485148,0.429375059,0.314484451,0.109098913,-8991.526977,18007.05395,18087.85515
0.464902524,0.995963296,0.900007692,0.970023994,0.246766034,0.158240676,0.342842165,1.203846118,1.802911151,0.441715748,0.299984666,0.095864252,-8991.819397,18007.63879,18088.43999
0.290124498,0.976217678,0.900092276,0.974186953,0.201439743,0.112207385,0.317738552,1.210357505,1.791025463,0.438117502,0.296087543,0.067140691,-8993.362582,18010.72516,18091.52636
0.347284534,0.917942933,0.900571227,0.974472768,0.19620971,0.169501595,0.370250605,1.158776807,1.794328945,0.493315806,0.303609078,0.047204867,-8993.601578,18011.20316,18092.00435
0.310121053,0.996569111,0.896293368,0.972250985,0.202234309,0.164974242,0.151303294,1.134004835,1.799770524,0.43737897,0.299733328,0.052415537,-8994.143462,18012.28692,18093.08812
0.310121053,0.996569111,0.896293368,0.972250985,0.202234309,0.164974242,0.151303294,1.134004835,1.799770524,0.43737897,0.299733328,0.052415537,-8994.143462,18012.28692,18093.08812
0.262778548,0.942704752,0.879010055,0.959206457,0.256378053,0.129949693,0.32424957,1.246666893,1.777455185,0.435309458,0.328556557,0.051677988,-8994.365799,18012.7316,18093.53279
0.252238045,0.99634892,0.900184076,0.969811382,0.279707747,0.099915242,0.310133557,1.262546078,1.799352567,0.430412663,0.300024494,0.084599773,-8994.407617,18012.81523,18093.61643
0.330807601,1.021932245,0.86875403,0.960311238,0.22859854,0.119668005,0.300456085,1.186079382,1.794546275,0.423525243,0.310994228,0.075557771,-8994.591221,18013.18244,18093.98364
0.300575874,0.927703359,0.89899769,0.966213889,0.242535712,0.130097157,0.189746694,1.135765655,1.791695155,0.436033257,0.298640622,0.04819083,-8995.323251,18014.6465,18095.4477
0.280718361,0.980760167,0.892496259,0.967351002,0.214288014,0.194465185,0.354559222,1.243549379,1.797554339,0.433531706,0.372287793,0.059167586,-8995.348693,18014.69739,18095.49858
0.341242925,1.045196278,0.901981919,0.970444447,0.236010549,0.099150056,0.311701005,1.183160891,1.802335963,0.429295603,0.296791317,0.087387769,-8995.538683,18015.07737,18095.87856
0.286951047,1.043153869,0.899989564,0.969989122,0.256942034,0.135596859,0.317494965,1.24029849,1.799993926,0.429992822,0.346665185,0.049999448,-8996.143323,18016.28665,18097.08784
0.376350455,1.056475185,0.902943241,0.969497783,0.290401498,0.153741432,0.22323239,1.189540121,1.824997776,0.431923581,0.325127925,0.099763195,-8996.500102,18017.0002,18097.8014
0.337427583,1.006197838,0.900000677,0.969985176,0.235256826,0.143607365,0.257370858,1.240659182,1.82037874,0.469297809,0.299997743,0.054625755,-8996.579496,18017.15899,18097.96019
0.437450979,1.025981856,0.891593423,0.9711706,0.244065946,0.137090622,0.259683846,1.141405807,1.802292967,0.431009436,0.313164209,0.070017652,-8996.653181,18017.30636,18098.10756
