x.use,Wei,GG,Burr,GB2,EGIG,TSCD
1.908980011,1.923426239,1.547394643,1.554341086,1.439051912,1.92953812,1.467486545
0.476816398,1.822675072,1.480694768,1.35302928,1.306026878,1.907636962,1.465602714
3.316801872,2.040628,1.692876787,1.822643267,1.708078012,2.054234264,1.833720544
5.625102114,2.521479633,1.974778856,2.550614547,2.316946375,2.224969003,2.086560503
5.565024938,2.843328206,2.264524051,3.165838457,2.732693866,2.430216794,2.355962885
0.463337732,2.695998046,2.095324564,2.468356531,2.309493338,2.316745351,2.217057799
0.462923823,2.484981193,1.989423266,2.020585555,1.978530272,2.253300105,1.568483566
0.46251035,2.321926797,1.892736828,1.645082433,1.713226826,2.207103928,1.278430563
0.462097313,2.189846085,1.75299893,1.42202892,1.479405181,2.151538606,1.131321463
1.841798066,2.282512778,1.844030914,1.639945339,1.633954598,2.199165892,1.307775588
1.835234622,2.272976985,1.954086454,1.834874243,1.763145283,2.214211179,1.428494258
1.828698792,2.355946924,2.031436804,1.936064618,1.844532065,2.298953524,1.519270048
1.822190447,2.415459587,2.068355563,2.025993089,1.890947128,2.373100292,1.629563639
1.362995362,2.382933578,2.067520887,1.967987433,1.870605052,2.395719972,1.691011789
5.394080321,2.743584769,2.344859618,2.626540246,2.302331569,2.610967476,2.024398753
1.344929713,2.607333356,2.288226589,2.432356165,2.212704824,2.606830968,2.047025363
1.786880176,2.703984084,2.270402356,2.429056452,2.152904513,2.641167437,2.114856889
1.336596075,2.625345821,2.249048977,2.245167975,2.0544691,2.621059925,2.171590984
0.44513685,2.397008322,2.07803415,1.856591095,1.788890464,2.536671221,2.060387696
0.888695486,2.262466544,2.036050339,1.724046664,1.680398285,2.470611517,1.790911628
0.443953811,2.131975487,1.892536435,1.466801622,1.49202014,2.453918114,1.348301752
1.328323473,2.15002542,1.927433716,1.540259065,1.521339018,2.480644469,1.395295461
2.204085943,2.268467486,2.032962386,1.788626609,1.703339359,2.552990397,1.532586037
2.194350613,2.344369221,2.137870969,2.00563157,1.838094396,2.592983989,1.669143415
2.184666169,2.396462775,2.197556227,2.147038342,1.907768862,2.603481812,1.805550412
2.285002685,2.508073934,2.293187051,2.313104848,2.044254142,2.672959007,1.951159333
1.139478245,2.461875119,2.23481637,2.093731654,1.948824289,2.663519496,1.970539775
1.890767985,2.477506857,2.313742705,2.163577594,1.977448954,2.718386019,2.068392378
1.50728757,2.401383456,2.329937334,2.128871399,1.969054881,2.687177133,2.152447454
1.127480287,2.4268881,2.23356078,1.97645894,1.884288367,2.662956673,2.157612149
2.614618213,2.575472015,2.343654576,2.206101943,2.036152909,2.706142278,2.282273713
0.373188282,2.353328711,2.150109519,1.771953198,1.730025862,2.579871151,2.118719458
0.745064198,2.244148422,2.053916028,1.660391925,1.658183635,2.533369406,1.760758808
1.484895343,2.302934398,2.092389053,1.803319344,1.707713859,2.584751233,1.73098598
0.370897622,2.090788641,1.944349283,1.494925857,1.482820838,2.466462958,1.669796161
1.109763064,2.090863179,1.91870609,1.51518614,1.472406151,2.474600815,1.595072006
0.7385433,2.135525767,1.866682462,1.436240335,1.405628076,2.454406746,1.599429969
0.368947471,2.036262541,1.740807216,1.244695641,1.29636823,2.320770687,1.187548558
2.202056891,2.25702493,1.869424359,1.555601902,1.473628072,2.397086192,1.428727707
1.098135064,2.174669809,1.859503964,1.561556218,1.477100493,2.383276396,1.469633181
2.546644077,2.369468324,1.995938937,1.855689824,1.683500352,2.425172027,1.570840407
0.363487809,2.205450088,1.855406628,1.547525964,1.505228757,2.306783113,1.542264747
1.448868657,2.229102587,1.888923377,1.64297039,1.571024838,2.316749349,1.557125053
0.723167644,2.145887607,1.795441113,1.520446042,1.512680924,2.333842229,1.56262036
2.515642269,2.34545529,1.944952268,1.835615111,1.66523475,2.408986474,1.77773806
1.432495521,2.343465858,1.911983926,1.876684945,1.696150997,2.411943818,1.860966123
0.357811296,2.208385397,1.757623887,1.575485419,1.482238711,2.274942689,1.758591976
2.135655566,2.377490799,1.886621966,1.829962082,1.669466217,2.329323123,1.843031926
0.710644551,2.170994495,1.854034399,1.694810122,1.549587217,2.235950288,1.82973645
0.355012598,2.016748491,1.733440903,1.437412409,1.393050971,2.17132832,1.254160388
4.563206483,2.380572334,1.988656348,2.04286638,1.855091235,2.316437348,1.794799886
