Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.566401337,0.93969078,0.18134595,0.369792688,3.959056677,-9986.408939,19982.81788,20016.89918
Estimate,0.52393751,0.92969869,0.180999929,0.36633883,3.95670459,-9994.480073,19998.96015,20033.04145
Estimate,0.565023313,0.929605013,0.181018218,0.359995337,3.961438683,-9991.351913,19992.70383,20026.78513
Estimate,0.566154415,0.939375344,0.181540398,0.389430118,3.979736947,-9987.458473,19984.91695,20018.99825
Estimate,0.52585036,0.939655792,0.181543344,0.360832271,4.012427108,-9996.797268,20003.59454,20037.67584
Estimate,0.566187243,0.929463156,0.151967238,0.378007864,3.982370227,-9980.058979,19970.11796,20004.19926
Estimate,0.566392551,0.995968996,0.181967462,0.377144686,3.970925561,-9994.584198,19999.1684,20033.2497
Estimate,0.56614398,0.996759532,0.171494286,0.375907409,3.966206115,-9983.6324,19977.2648,20011.3461
Estimate,0.565786306,0.939636329,0.151292,0.375090804,3.958794432,-9988.386619,19986.77324,20020.85454
Estimate,0.565494429,0.995895355,0.181830767,0.369940356,4.013221217,-9987.943231,19985.88646,20019.96776
Estimate,0.566155527,0.939468413,0.181367257,0.3705824,3.953067577,-9979.818132,19969.63626,20003.71756
Estimate,0.566475009,0.939462536,0.181539614,0.382331082,3.942241284,-9980.372438,19970.74488,20004.82618
Estimate,0.565101106,0.939699891,0.181518898,0.37667868,3.962662072,-9990.068287,19990.13657,20024.21788
Estimate,0.563897921,0.939333819,0.191645559,0.354393017,4.056982665,-9974.657024,19959.31405,19993.39535
Estimate,0.566007495,0.99596322,0.181329548,0.345154182,3.970997898,-9997.873583,20005.74717,20039.82847
Estimate,0.585694329,0.939702492,0.181303012,0.368240819,3.96588076,-9991.002019,19992.00404,20026.08534
Estimate,0.565502221,0.939544398,0.191282751,0.378174791,4.000670236,-9977.070704,19964.14141,19998.22271
Estimate,0.525239272,0.929692112,0.181017286,0.37733393,3.99777009,-9997.527915,20005.05583,20039.13713
Estimate,0.566692634,0.939431109,0.181510007,0.356600858,3.957919999,-9996.996122,20003.99224,20038.07355
Estimate,0.526074398,0.959583826,0.181480054,0.356653655,4.027708251,-9990.54641,19991.09282,20025.17412
Estimate,0.566732984,0.939391547,0.181847096,0.398601347,4.056929968,-9996.603965,20003.20793,20037.28923
Estimate,0.565838199,0.939742446,0.181130643,0.361743541,4.003039405,-9999.754521,20009.50904,20043.59034
Estimate,0.526137305,0.939696202,0.181691002,0.364745428,3.970314333,-9999.023307,20008.04661,20042.12791
Estimate,0.565010305,0.939701877,0.181472532,0.372719043,3.969130337,-9987.998334,19985.99667,20020.07797
Estimate,0.566020851,0.939631061,0.171143554,0.352572438,3.983240536,-9990.820716,19991.64143,20025.72273
Estimate,0.565348114,0.959145277,0.181590277,0.396145731,4.024506081,-9987.971223,19985.94245,20020.02375
Estimate,0.565691137,0.997628194,0.181056545,0.370832772,4.07009047,-9998.158194,20006.31639,20040.39769
Estimate,0.566518545,0.939681562,0.181120418,0.369886702,3.957196537,-9997.909323,20005.81865,20039.89995
Estimate,0.566183688,0.939648506,0.181124033,0.360454886,4.009147565,-9989.207533,19988.41507,20022.49637
Estimate,0.565522078,0.939508496,0.191798838,0.372509694,3.966989786,-9975.245363,19960.49073,19994.57203
Estimate,0.565248626,0.939546973,0.151281629,0.385398819,3.958609427,-9972.501013,19955.00203,19989.08333
Estimate,0.554373378,0.939699463,0.18099774,0.353105106,3.993192423,-9997.334679,20004.66936,20038.75066
Estimate,0.564646426,0.939525106,0.181151975,0.346187701,4.039874274,-9996.823348,20003.6467,20037.728
Estimate,0.565592917,0.939710583,0.181533858,0.360843041,4.041222336,-9993.678146,19997.35629,20031.43759
Estimate,0.566291793,0.939690866,0.151235468,0.359751211,3.954594776,-9993.425061,19996.85012,20030.93142
Estimate,0.565192703,0.939600938,0.181626039,0.399652403,3.960041628,-9989.566798,19989.1336,20023.2149
Estimate,0.569668804,0.939611205,0.18122553,0.381388588,3.963741133,-9999.020376,20008.04075,20042.12205
Estimate,0.562714717,0.959128103,0.181977557,0.382661892,3.983418586,-9978.033712,19966.06742,20000.14872
Estimate,0.560443257,0.99698899,0.181593645,0.382268827,3.959853283,-9998.984141,20007.96828,20042.04958
Estimate,0.525962375,0.939525902,0.181391542,0.371864349,3.926245566,-9974.369847,19958.73969,19992.821
Estimate,0.568411827,0.939295471,0.181662445,0.354735648,3.985312776,-9994.744339,19999.48868,20033.56998
Estimate,0.565277566,0.93967234,0.18144641,0.389751086,3.958348639,-9993.925623,19997.85125,20031.93255
Estimate,0.564733144,0.939699082,0.180999728,0.370595637,3.956794727,-9992.90659,19995.81318,20029.89448
Estimate,0.565702595,0.939343972,0.181580479,0.3678614,4.015156441,-9968.128271,19946.25654,19980.33784
Estimate,0.565547975,0.929223958,0.18164714,0.368333481,3.954357368,-9972.535558,19955.07112,19989.15242
Estimate,0.56610704,0.939696953,0.181518188,0.380068163,3.98390744,-10000.29698,20010.59396,20044.67526
Estimate,0.52620184,0.994231314,0.171922057,0.377338643,4.134849015,-9977.826613,19965.65323,19999.73453
