Parameter,miu,be,sig,a,p,q,LogL,AIC,BIC
Estimate,0.659669023,0.958425115,0.105976009,0.527395323,3.000254274,23.89773214,-9999.15121,20010.30242,20051.19998
Estimate,0.656737829,0.933557199,0.157475979,0.558838572,3.041292672,23.96531721,-9974.21401,19960.42802,20001.32558
Estimate,0.58302503,0.959759654,0.100531191,0.557146435,3.027555612,23.89956688,-10007.08076,20026.16153,20067.05909
Estimate,0.490205954,0.954976788,0.155549264,0.584725438,3.029399475,23.92084425,-9981.175095,19974.35019,20015.24775
Estimate,0.6050288,0.959759218,0.099890089,0.499876031,3.290193532,23.89824354,-9998.669665,20009.33933,20050.23689
Estimate,0.690318199,0.957691369,0.104236395,0.518345679,3.011210877,23.90025598,-10006.11856,20024.23713,20065.13469
Estimate,0.636332052,0.939684383,0.195505442,0.515953658,3.016173845,23.94825216,-9993.408503,19998.81701,20039.71457
Estimate,0.666328828,0.960001353,0.105756033,0.518593477,3.000005274,23.89975689,-10004.1962,20020.39241,20061.28997
Estimate,0.524960781,0.96107298,0.096439657,0.534827204,3.012071838,23.90300179,-9988.86232,19989.72464,20030.6222
Estimate,0.647076128,0.96049936,0.102393716,0.548101053,3.087809435,23.89213784,-10004.39398,20020.78797,20061.68553
Estimate,0.540571326,0.967741768,0.133218517,0.524198907,2.982969815,23.96697666,-9993.294639,19998.58928,20039.48684
Estimate,0.603737276,0.960000735,0.114815725,0.574298082,3.047498142,23.91880869,-10005.30884,20022.61767,20063.51524
Estimate,0.640294249,0.97413492,0.123615916,0.519541775,2.998241322,23.87890371,-10002.05342,20016.10683,20057.00439
Estimate,0.56065191,0.924897647,0.153903187,0.570895394,3.013219996,24.08378394,-9969.931443,19951.86289,19992.76045
Estimate,0.43536624,0.963702534,0.107984336,0.498593224,3.124975651,23.88828485,-10001.94344,20015.88688,20056.78444
Estimate,0.667712803,0.960085723,0.208357062,0.547542866,3.037293575,23.89924642,-10005.92993,20023.85985,20064.75742
Estimate,0.806031536,0.966109805,0.146669142,0.533706993,3.115101873,23.91895143,-9995.349939,20002.69988,20043.59744
Estimate,0.641399864,0.96059026,0.101199927,0.534022723,3.018518919,23.89807365,-9999.735766,20011.47153,20052.36909
Estimate,0.715182062,0.958580683,0.105361294,0.514006267,3.059405107,23.89913513,-10008.69644,20029.39288,20070.29044
Estimate,0.390599198,0.959295271,0.135709248,0.507351501,3.34113931,23.89096501,-9976.920888,19965.84178,20006.73934
Estimate,0.674947903,0.961637211,0.124956262,0.50694656,3.003772985,23.9293135,-10000.765,20013.53,20054.42757
Estimate,0.565966061,0.945810287,0.124852217,0.520516145,2.978708694,23.98917851,-9981.632126,19975.26425,20016.16181
Estimate,0.646585919,0.95708437,0.146864053,0.504019026,3.008088641,23.89443232,-10003.29657,20018.59315,20059.49071
Estimate,0.698074048,0.967653968,0.149357838,0.528299983,3.046757347,23.96780887,-9990.891699,19993.7834,20034.68096
Estimate,0.784273199,0.940070021,0.154673051,0.509838679,3.159963,24.04846664,-10002.78891,20017.57783,20058.47539
Estimate,0.51146119,0.959411654,0.099459862,0.500603423,2.999495528,24.04535781,-10013.76589,20039.53178,20080.42934
Estimate,0.775582986,0.93538257,0.17956642,0.534463122,3.02698159,23.90713946,-9995.331086,20002.66217,20043.55973
Estimate,0.559503053,0.958076884,0.102270313,0.498215368,2.996112998,23.85433269,-10015.09082,20042.18164,20083.0792
Estimate,0.652696825,0.959989475,0.128673888,0.499996762,3.003774326,23.92178287,-10008.54714,20029.09427,20069.99184
Estimate,0.674644811,0.960000685,0.099997718,0.538397037,3.085756847,23.97360465,-10006.85498,20025.70996,20066.60752
Estimate,0.657140587,0.95166729,0.135995335,0.506123642,3.005153983,23.90537124,-9999.366262,20010.73252,20051.63009
Estimate,0.632339647,0.959986618,0.099999314,0.533012318,2.999980784,23.89982843,-9997.622174,20007.24435,20048.14191
Estimate,0.522344191,0.960581752,0.099524286,0.541979449,3.0340468,23.89840016,-9994.326338,20000.65268,20041.55024
Estimate,0.580973513,0.960001219,0.113796578,0.580108147,2.999886216,24.00617937,-9999.585812,20011.17162,20052.06919
Estimate,0.655983698,0.959953244,0.151786995,0.49996855,3.039063144,23.90639938,-10006.50846,20025.01692,20065.91448
Estimate,0.528732962,0.968138896,0.100006372,0.50056094,3.009478235,23.89562297,-10014.22696,20040.45392,20081.35148
Estimate,0.661438258,0.960001389,0.205119775,0.546676026,2.999870358,23.89884249,-10003.52055,20019.04111,20059.93867
Estimate,0.600327513,0.964112801,0.160139794,0.520261417,3.00251133,23.89605828,-9995.281859,20002.56372,20043.46128
Estimate,0.608139198,0.956396613,0.11399689,0.500278522,3.006753906,23.95331177,-10008.37713,20028.75425,20069.65182
Estimate,0.57844572,0.959945807,0.155429136,0.51126769,2.999922185,23.90194271,-10001.89451,20015.78902,20056.68658
Estimate,0.622303486,0.95943435,0.114155618,0.518485888,2.966895441,23.89638815,-9993.614107,19999.22821,20040.12577
Estimate,0.620246773,0.959953617,0.127411831,0.499985924,2.999933512,23.92726028,-10003.93145,20019.8629,20060.76046
Estimate,0.653330003,0.96108741,0.133628683,0.503025012,3.01396769,23.89052776,-10005.47589,20022.95177,20063.84933
Estimate,0.646929375,0.957447318,0.142030723,0.521630673,3.017231578,23.9034627,-9984.205641,19980.41128,20021.30884
Estimate,0.726865322,0.959735385,0.100078216,0.50036808,3.266544705,23.89766881,-10009.79768,20031.59537,20072.49293
Estimate,0.701017314,0.968297263,0.107646539,0.486151004,3.241939155,24.06523354,-10011.22976,20034.45952,20075.35708
Estimate,0.412962926,0.951443584,0.103756516,0.502867927,3.269826071,24.08778811,-9998.639802,20009.2796,20050.17716
Estimate,0.562276673,0.945887615,0.135204623,0.529983423,2.96967127,24.07313181,-9981.264758,19974.52952,20015.42708
Estimate,0.658575221,0.959979696,0.15998304,0.572190733,2.999970845,23.89973968,-9988.275365,19988.55073,20029.44829
Estimate,0.530952599,0.957519034,0.123093133,0.583747341,2.996001847,23.89857318,-9991.564719,19995.12944,20036.027
Estimate,0.635360935,0.95600424,0.123763587,0.525190738,2.995235732,23.87963571,-9986.73,19985.46,20026.35756
Estimate,0.692423394,0.959957275,0.185019503,0.593536848,2.999938652,23.89945225,-10005.99896,20023.99792,20064.89548
Estimate,0.652175774,0.95993898,0.11800999,0.535797363,3.059482498,23.89955176,-9992.055561,19996.11112,20037.00868
Estimate,0.666439193,0.959972104,0.113172138,0.543050191,3.009710492,23.89971803,-9992.677783,19997.35557,20038.25313
Estimate,0.583383881,0.907184455,0.20825031,0.536203332,3.007136871,23.94978873,-9967.39653,19946.79306,19987.69062
Estimate,0.64786688,0.95899336,0.099662516,0.49882437,3.207347308,23.90082707,-10007.11629,20026.23257,20067.13014
Estimate,0.683464261,0.959857214,0.100024908,0.530783589,2.999934382,23.89969129,-10003.25105,20018.50211,20059.39967
Estimate,0.667972119,0.960536118,0.125457913,0.530002583,3.034541396,23.90002882,-9987.339751,19986.6795,20027.57706
Estimate,0.619542125,0.960589149,0.143297674,0.562633907,2.999852027,23.97849323,-9980.882468,19973.76494,20014.6625
Estimate,0.500976441,0.961054256,0.216462664,0.567127048,3.022629472,23.93161656,-10008.98652,20029.97303,20070.87059
Estimate,0.626287763,0.95999688,0.099996692,0.523087036,3.001461696,23.91764618,-10000.94643,20013.89286,20054.79042
Estimate,0.656030021,0.961083061,0.097393154,0.521506273,2.997681527,23.89660953,-10008.116,20028.232,20069.12956
Estimate,0.650743794,0.947623764,0.108652748,0.523941852,3.019600387,23.91786144,-10000.26272,20012.52544,20053.42301
Estimate,0.650997705,0.962491632,0.095233484,0.549726637,3.011590014,23.94619265,-10007.53701,20027.07403,20067.97159
Estimate,0.623532555,0.957374141,0.115483251,0.546533313,3.005222238,23.91262826,-9988.754349,19989.5087,20030.40626
Estimate,0.605231969,0.958491082,0.142572924,0.526339003,3.066479727,23.91526013,-9975.180629,19962.36126,20003.25882
Estimate,0.741795985,0.96125534,0.135460528,0.531006554,3.001029963,23.90036299,-9990.396345,19992.79269,20033.69025
Estimate,0.619412735,0.949623757,0.124325389,0.535481698,3.025171274,23.9133587,-9983.2413,19978.4826,20019.38016
Estimate,0.623464374,0.966859097,0.146781143,0.554071556,3.017809861,23.86314948,-9982.690098,19977.3802,20018.27776
Estimate,0.680685532,0.960000959,0.099996803,0.551611251,3.068955299,23.91709997,-10012.77856,20037.55711,20078.45467
Estimate,0.899195703,0.963739268,0.149035669,0.512191544,3.275745953,23.89102688,-10008.28789,20028.57579,20069.47335
Estimate,0.638234719,0.960590911,0.09930685,0.527298228,3.001176112,23.903451,-9998.398333,20008.79667,20049.69423
Estimate,0.659820172,0.962003644,0.103520637,0.556407623,3.03108323,23.96392966,-10006.88137,20025.76274,20066.6603
Estimate,0.701985751,0.96011878,0.137306577,0.558733771,2.999812031,23.89921574,-9981.845687,19975.69137,20016.58893
Estimate,0.582240736,0.938272438,0.161989026,0.538265714,3.0421148,23.89697595,-9966.694682,19945.38936,19986.28693
Estimate,0.644303795,0.932615789,0.210920687,0.531102892,2.987482051,23.94827172,-9990.586816,19993.17363,20034.07119
Estimate,0.614536244,0.960000657,0.129924778,0.499986863,2.999938695,23.89945264,-10005.20597,20022.41194,20063.3095
Estimate,0.52798349,0.972156017,0.153238406,0.538638522,3.035040845,23.85880156,-9992.101195,19996.20239,20037.09995
Estimate,0.632066083,0.972859263,0.133936488,0.526723693,3.004354038,23.93076122,-9995.158283,20002.31657,20043.21413
Estimate,0.658903023,0.965386934,0.11420712,0.542234014,2.995362038,23.93109075,-9987.260362,19986.52072,20027.41829
Estimate,0.711037875,0.956959441,0.126705903,0.545501203,3.051243295,23.91995076,-9989.657473,19991.31495,20032.21251
Estimate,0.652731556,0.951123865,0.186614762,0.561026067,2.982976881,23.89980299,-9982.922529,19977.84506,20018.74262
Estimate,0.594636093,0.956837028,0.120639088,0.505158356,3.012636806,23.89135136,-9997.21443,20006.42886,20047.32642
Estimate,0.654427968,0.959956236,0.15517627,0.522254327,2.999937159,23.94273365,-9991.275878,19994.55176,20035.44932
