"miu","be","sig","lam","del","w","LogL","AIC","BIC"
0.36649162,0.928797715,0.219203171,0.22455392,0.755741983,0.747292933,-9798.2828,19608.5656,19649.46316
0.348847317,0.91351183,0.209885724,0.168975384,0.752870707,0.755743637,-9798.80703,19609.61406,19650.51162
0.310470929,0.898321255,0.1987236,0.35988328,0.937820683,0.600205561,-9798.88237,19609.76474,19650.6623
0.289149792,0.899993424,0.219601106,0.303388253,0.899995477,0.599999304,-9798.95947,19609.91894,19650.8165
0.374143882,0.912065464,0.225416685,0.213524602,0.782666777,0.704754665,-9799.42592,19610.85184,19651.7494
0.369917425,0.911126458,0.221277089,0.195959068,0.806718821,0.683865367,-9799.43646,19610.87292,19651.77048
0.220980169,0.89994606,0.199994292,0.367589095,0.899962898,0.599994292,-9799.46409,19610.92818,19651.82574
0.314250028,0.899990493,0.243188298,0.287514729,0.901354761,0.607269029,-9799.7239,19611.4478,19652.34536
0.453923359,0.874182882,0.243746759,0.138749115,0.713203604,0.843348879,-9799.96143,19611.92286,19652.82042
0.283062874,0.901623385,0.199896237,0.305624644,0.897418767,0.608021769,-9800.05672,19612.11344,19653.011
0.299740817,0.899941931,0.238123378,0.297601104,0.900009347,0.633828588,-9800.10739,19612.21478,19653.11234
0.328543621,0.939454442,0.172242081,0.311276737,0.801675606,0.632296315,-9800.35957,19612.71914,19653.6167
0.390069084,0.907927747,0.23719474,0.175339033,0.739153596,0.742536305,-9800.42228,19612.84456,19653.74212
0.299516732,0.899849993,0.200083823,0.299889535,0.899915342,0.600167186,-9800.46696,19612.93392,19653.83148
0.307847175,0.935314264,0.255167236,0.432389145,0.803382251,0.612305035,-9800.50675,19613.0135,19653.91106
0.210316469,0.893353096,0.216365944,0.299335851,0.717876162,0.725499858,-9800.79405,19613.5881,19654.48566
0.388596749,0.900769678,0.326306852,0.441014014,0.94490562,0.599938922,-9800.88759,19613.77518,19654.67274
0.301798446,0.90000057,0.199998733,0.294146132,0.899991762,0.630345604,-9801.30048,19614.60096,19655.49852
0.293990966,0.902445633,0.194407441,0.292161237,0.895300833,0.619875861,-9802.05082,19616.10164,19656.9992
0.237224691,0.904287673,0.258028079,0.299785694,0.949526841,0.594486281,-9802.08823,19616.17646,19657.07402
0.300408994,0.899949826,0.19991322,0.299489044,0.900151251,0.599953663,-9802.35869,19616.71738,19657.61494
0.402282951,0.900001838,0.302974715,0.479921598,0.989388668,0.61168208,-9802.57931,19617.15862,19658.05618
0.444258987,0.901430961,0.308150502,0.271628067,0.812256931,0.68848179,-9802.65419,19617.30838,19658.20594
0.532271977,0.897651922,0.166463041,0.244455818,0.71071112,0.73263731,-9803.05706,19618.11412,19659.01168
0.311584153,0.878309554,0.267050499,0.132346034,0.634706297,0.896977024,-9803.68364,19619.36728,19660.26484
0.308975994,0.900003864,0.207685531,0.285858659,0.899962011,0.60001203,-9803.85073,19619.70146,19660.59902
0.316610015,0.899859395,0.216479275,0.262682017,0.900105609,0.63125735,-9804.18577,19620.37154,19661.2691
0.415111144,0.888282489,0.317718413,0.316145451,0.841508616,0.63454104,-9804.24645,19620.4929,19661.39046
0.286509667,0.898673406,0.202471432,0.306563847,0.901778031,0.615955901,-9804.29267,19620.58534,19661.4829
0.271208373,0.899735355,0.231217719,0.288446967,0.900017554,0.60053807,-9804.32342,19620.64684,19661.5444
0.278258109,0.899995265,0.213423884,0.283985494,0.905008779,0.600008304,-9804.51768,19621.03536,19661.93292
0.338757364,0.95343354,0.173192257,0.246533511,0.675740905,0.764090309,-9804.55883,19621.11766,19662.01522
0.360518314,0.900569973,0.36728724,0.55834478,0.718471491,0.754830037,-9804.90472,19621.80944,19662.707
0.536536344,0.963214604,0.170957127,0.27678926,0.690599089,0.780027221,-9805.05183,19622.10366,19663.00122
