"miu","be","sig","a","LogL","AIC","BIC"
0.508439908,0.900005317,0.288402147,0.824114527,-10044.02434,20096.04868,20123.31372
0.454054855,0.826564808,0.312557278,0.819784457,-10044.02696,20096.05391,20123.31895
0.488017898,0.925346396,0.243396949,0.819897178,-10044.04118,20096.08236,20123.3474
0.440105514,0.892603538,0.28705553,0.810784399,-10044.06764,20096.13529,20123.40033
0.51932314,0.933743407,0.219536225,0.856208195,-10044.17025,20096.34051,20123.60555
0.573053834,0.918185084,0.21536652,0.783084215,-10044.17697,20096.35395,20123.61899
0.596763642,0.8921101,0.240751111,0.869066773,-10044.38616,20096.77232,20124.03737
0.261488187,0.900262816,0.317015717,0.902433202,-10044.46422,20096.92845,20124.19349
0.603515808,0.916306283,0.217363246,0.828743214,-10044.47081,20096.94162,20124.20666
0.450010433,0.904263782,0.254507538,0.790966861,-10044.53418,20097.06837,20124.33341
0.601482887,0.906819061,0.231739708,0.822565843,-10044.72336,20097.44672,20124.71176
0.620893686,0.872702903,0.27371943,0.888187556,-10044.74399,20097.48799,20124.75303
0.594696698,0.920437496,0.220196921,0.799731933,-10045.01244,20098.02489,20125.28993
0.573677789,0.899026412,0.248189793,0.800843036,-10045.27838,20098.55675,20125.82179
0.623613383,0.924333778,0.21806785,0.832084419,-10045.32124,20098.64248,20125.90752
0.522256227,0.869402696,0.325905772,0.86503995,-10045.37403,20098.74805,20126.01309
0.382285413,0.93868622,0.188932249,0.874612271,-10045.37998,20098.75995,20126.02499
0.402819161,0.813468084,0.319986954,0.816824146,-10045.40139,20098.80279,20126.06783
0.547885301,0.893406787,0.214792342,0.804203235,-10045.40513,20098.81026,20126.0753
0.249473461,0.881491232,0.259994923,0.812089855,-10045.60086,20099.20172,20126.46676
0.342789445,0.895068349,0.241207678,0.778939904,-10045.62812,20099.25624,20126.52128
0.45341866,0.879743123,0.291302287,0.798862729,-10045.69286,20099.38573,20126.65077
0.579241774,0.897103003,0.278468722,0.911112466,-10045.70317,20099.40633,20126.67137
0.42935546,0.884603189,0.269390257,0.784912514,-10045.7636,20099.52721,20126.79225
0.493780625,0.869838766,0.279779972,0.797488654,-10045.81555,20099.63109,20126.89613
0.567250375,0.880202377,0.257689269,0.831339365,-10045.87637,20099.75274,20127.01778
0.525455731,0.904044802,0.250013691,0.801256591,-10046.08168,20100.16336,20127.4284
0.419332427,0.88976642,0.314721432,0.90033437,-10046.09949,20100.19898,20127.46402
0.531715453,0.899228435,0.25632453,0.797489819,-10046.12411,20100.24823,20127.51327
0.389511094,0.895603725,0.191975862,0.797767369,-10046.16087,20100.32173,20127.58677
0.598515387,0.931272982,0.228373873,0.88118503,-10046.23819,20100.47639,20127.74143
0.620663444,0.923792875,0.213864475,0.829117397,-10046.25222,20100.50443,20127.76947
0.319706791,0.900005321,0.278152492,0.803782612,-10046.25696,20100.51392,20127.77896
0.637147417,0.927379435,0.216167402,0.834675884,-10046.29153,20100.58305,20127.84809
0.585749694,0.901384818,0.220594303,0.800677233,-10046.44392,20100.88783,20128.15287
0.555526553,0.901455182,0.193491287,0.825551741,-10046.61608,20101.23215,20128.49719
0.577699464,0.899068657,0.226217333,0.801635466,-10046.63061,20101.26122,20128.52626
0.525683918,0.916697929,0.214792978,0.778381739,-10046.64256,20101.28512,20128.55016
0.383171059,0.665644789,0.474608818,1.007173272,-10046.68465,20101.3693,20128.63434
0.587225071,0.899544636,0.250794818,0.833931288,-10046.70993,20101.41986,20128.6849
0.625774122,0.920018528,0.206270121,0.851561125,-10046.75056,20101.50113,20128.76617
0.616070514,0.896537204,0.276890365,0.842706121,-10046.7612,20101.52239,20128.78743
0.337267334,0.896930979,0.300093718,0.914289658,-10046.76621,20101.53241,20128.79745
0.546448273,0.908497729,0.251249497,0.809464768,-10046.82208,20101.64415,20128.90919
0.384032752,0.835425781,0.303327778,0.791789889,-10047.03904,20102.07807,20129.34311
0.440956775,0.722191722,0.430818199,0.890721285,-10047.17059,20102.34119,20129.60623
0.575109108,0.898216936,0.235140117,0.801165954,-10047.17119,20102.34237,20129.60741
0.568878563,0.917072013,0.183310444,0.794136644,-10047.17132,20102.34263,20129.60768
0.375352282,0.814837347,0.415595283,0.945175133,-10047.38374,20102.76748,20130.03253
0.555432689,0.81681376,0.322817362,0.894882919,-10047.41554,20102.83108,20130.09612
0.486519798,0.94304295,0.181343673,0.83666574,-10047.43054,20102.86108,20130.12612
0.507095295,0.898674118,0.234537078,0.934202711,-10047.77898,20103.55796,20130.823
0.297104015,0.916856118,0.203457172,0.807764592,-10047.9817,20103.96341,20131.22845
