window,miu,be,sig,a,LogL
351,0.577691977,0.85192671,0.306563993,1.16791248,-10076.14372
352,0.694388496,0.89972375,0.249963459,1.243694584,-10123.54449
353,0.433072638,0.887957951,0.243028916,1.166777181,-10053.89411
354,0.640253038,0.899817259,0.249945164,1.238784475,-10106.76407
355,0.518517995,0.900641245,0.25055104,1.340807451,-10165.76236
356,0.516130231,0.856424353,0.227685206,1.020194241,-10138.68939
357,0.666207816,0.880147692,0.23208732,1.079615357,-10118.74178
358,0.543777914,0.901569532,0.251048772,0.975794459,-10187.22409
359,0.54685701,0.900180087,0.251575569,1.143682181,-10073.15183
360,0.51013617,0.86224913,0.243760652,1.005538878,-10146.21426
361,0.463002203,0.900037386,0.343020155,0.96390838,-10286.68046
362,0.728970696,0.955241879,0.171578525,1.111238308,-10109.75313
363,0.47255957,0.908996045,0.233233506,1.059706418,-10096.65868
364,0.803170374,0.925025437,0.296794283,1.356249769,-10226.66625
365,0.519969837,0.904777964,0.263484161,1.218868658,-10072.37843
366,0.607574177,0.905383363,0.264687142,1.147892269,-10083.86981
367,0.481037408,0.877267407,0.216915007,1.101880872,-10080.46486
368,0.518917328,0.914339205,0.180467381,1.128602212,-10086.58869
369,0.564665118,0.822756547,0.320284401,1.231349745,-10087.12411
370,0.491639997,0.8976057,0.245617173,1.06639123,-10083.59362
371,0.534131963,0.894405423,0.254412031,1.127356104,-10068.07319
372,0.472469381,0.878094901,0.215648234,1.084330887,-10085.88549
373,-0.109536301,0.899573519,0.520703134,1.545107462,-10421.57172
374,0.579446519,0.917129982,0.212373563,1.109602105,-10073.95606
375,0.310263247,0.783252036,0.50046952,1.158441109,-10149.60805
376,0.438697464,0.926562675,0.110469762,0.985210968,-10198.91213
377,0.256553398,0.899140633,0.24953129,0.946016562,-10246.80549
378,0.385344536,0.904506258,0.335702242,1.148745962,-10107.44337
379,0.616838108,0.863323098,0.284569462,1.112718374,-10087.82499
380,0.608112894,0.919505261,0.283263355,1.087572156,-10113.42744
381,0.28482377,0.940184008,0.216979885,1.065802031,-10106.62992
382,0.357654244,0.89987564,0.24998355,0.97659845,-10184.56602
383,0.609186813,0.917376678,0.180554826,1.08788285,-10096.72525
384,0.540622092,0.881965936,0.26060089,1.103648336,-10080.39118
385,0.505486496,0.900328036,0.250043927,1.061942934,-10093.4921
386,0.37217299,0.899811624,0.249975082,1.291856432,-10105.27224
387,0.387370759,0.865998767,0.238045469,1.10720465,-10073.61822
388,0.385299511,0.869060648,0.23246803,1.154143397,-10067.64578
389,0.568397102,0.897981104,0.241226467,1.309560413,-10151.4559
390,0.373205735,0.899782113,0.249341168,0.984368983,-10175.71135
391,1.286807256,0.899351639,0.437244531,1.38811008,-10375.92538
392,0.484412375,0.915079814,0.247015997,1.319457793,-10133.01348
393,0.449326204,0.899466842,0.249635628,1.342998061,-10166.69571
394,0.518600219,0.812754162,0.321864205,1.189771338,-10059.43039
395,0.362416718,0.90000993,0.249972359,1.33198273,-10151.82926
396,0.29959921,0.900014613,0.569846501,1.461268864,-10379.45815
397,0.786586111,0.898321731,0.249397105,1.246067349,-10151.05796
398,0.493442255,0.898501075,0.249057582,1.346139863,-10177.90051
399,0.422599854,0.892040709,0.254207925,1.23075953,-10072.96545
400,0.51073686,0.920881717,0.249392166,0.963268425,-10210.49625
401,0.316696122,0.906737345,0.261098267,1.268801223,-10097.01021
402,0.586104577,0.898072512,0.24857093,1.32442985,-10158.78899
403,0.435290211,0.926697745,0.195607172,1.057302392,-10088.78155
404,0.509324153,0.862969035,0.186462853,1.007327654,-10173.9973
405,0.519818825,0.90126912,0.242497484,1.181268235,-10074.84971
406,0.411771146,0.900552745,0.30791817,1.316617204,-10137.85403
407,0.405875778,0.900105373,0.314465187,1.301919569,-10130.83014
408,0.348428151,0.900000916,0.311379092,1.305805927,-10128.15474
409,0.554897326,0.914679596,0.275640555,1.035727602,-10123.07051
